"Genre","sale_in_NA","sale_in_EU","sale_in_JP","sale_in_Other"
Action,750.9000003468245,472.06999905593693,130.73999981582165,177.7799987550825
Sports,588.280001135543,339.5900003667921,75.70999963395298,126.50999985262752
Shooter,485.5600008368492,289.95000030100346,22.779999870806932,98.73999972827733
Misc,368.18999967724085,199.92999977990985,85.08000000752509,71.85999965295196
Role-Playing,278.7600006554276,155.030000038445,238.56999986805022,51.47999974153936
Racing,272.37999974936247,193.85000009834766,27.720000073313713,70.1599998138845
Platform,259.1000001914799,141.27999942936003,55.21000004559755,42.10000003129244
Simulation,163.27999939210713,104.54999990575016,40.059999922290444,29.149999910965562
Fighting,161.01000013761222,75.50999973155558,44.760000079870224,32.049999728798866
Adventure,82.67999988421798,50.08999988436699,37.10999965853989,15.09999986179173
Puzzle,65.0299999192357,40.49999991990626,24.180000292137265,10.289999878033996
Strategy,46.2199999820441,32.699999736621976,27.50999996624887,9.219999885186553
