"region","Platform","sale_in_region","total_sale"
NA,X360,594.3300014268607,969.6100001167506
NA,PS2,572.9199996776879,1233.4599968194962
NA,Wii,497.37000140175223,909.8099973648787
EU,PS3,340.470001488924,949.3499979004264
EU,PS2,332.6299993712455,1233.4599968194962
EU,X360,278.0099996905774,969.6100001167506
JP,DS,175.00000010617077,818.6500011011958
JP,PS2,137.53999921493232,1233.4599968194962
JP,"3DS",97.30000048875809,246.27999993413687
Other,PS2,190.46999958530068,1233.4599968194962
Other,PS3,140.80999928340316,949.3499979004264
Other,X360,84.66999968886375,969.6100001167506
